,County,Year,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,COUNTY POP
45,101,2014,586.6160515095868,499.6124653121829,506.4502035715382,510.90620770439256,686.4979861805522,927.6266761575107,1135.898238573055,967.8185476040063,785.6198389864568,574.1029771621331,524.7331673039919,614.3980678164213,94737
46,11,2014,635.4705296319527,545.0074899799657,543.6407323122197,533.2852417952422,710.576449143495,949.4760192831245,1129.7957912926638,975.602920074272,802.4765765434379,594.2347929643637,566.8975658121627,680.7995688617982,21419
47,115,2014,619.6083026205162,537.1340157052248,544.4634919193799,536.4162387923838,674.1433328598656,863.9610420257969,1050.3192156402636,916.4461448285241,766.6963032086873,597.4370568866433,559.3436327343168,653.0243586056382,70418
48,7,2014,616.1724498448333,546.0269006976265,546.9963398366892,518.7473699690527,612.2423149520877,791.096375561738,988.4594131485588,850.3988756446311,704.9726144891445,554.2736026003099,564.6188010759691,667.2798150854686,219996
49,91,2014,454.99533207631873,389.61407322076474,400.61968487816347,372.6744594753366,350.3192475679124,344.14680094294897,409.7912111077925,377.8524734325922,337.65057074180373,365.4731020237036,411.14828963436526,459.55939687389235,904
50,21,2014,722.2873357218539,620.7320293552535,616.1028873053082,578.5671046328949,720.8088306495246,986.2950690325799,1176.710205754815,1012.7609948490551,825.478653785346,621.852276992273,627.1089232117683,761.1034180800448,28122
51,63,2014,664.9227737019623,540.3717169000672,541.9747003656988,471.95604909154434,455.44537922084544,436.9886938391362,532.5013058432781,473.3542375858679,432.30634604595633,483.37708906305767,558.8074100686987,639.3212555865539,13017
52,103,2014,716.2341190954102,623.6739970100514,622.6694631700158,575.6459651814071,689.6658924598852,922.5476399629257,1134.4527763185556,987.5026496019639,792.7498042334034,616.0639633903107,647.5183540233191,768.4049295366573,63036
53,89,2014,835.9147654346149,750.9725371867623,751.0356213201612,671.5211211651626,732.4559523290679,930.1477303255054,1180.85925560458,1023.9986039679377,822.8412582111199,696.4272956730271,765.8534792777589,914.4954948008186,176603
54,35,2014,538.6567965889326,449.19264236523674,457.61605089708354,421.6297654598293,434.82737838380206,452.980279106586,589.898259233358,507.16520552259834,426.5730761130007,439.36240682822756,473.66293184244967,524.5793517228323,2951
55,49,2014,867.9460471194878,709.4924071655125,703.7665944384381,631.9720729263486,622.2991143030354,658.1075813410914,793.3914780836911,705.6652265878377,622.9161947739341,634.5202715684626,704.3498618396175,803.8707495050605,111
56,37,2015,548.7689501032073,451.7691919417204,438.1777646695978,433.6247204236201,433.5916533756494,476.2665536468081,598.420838508178,636.8617811451787,714.8679874827166,653.9481462561437,509.70312210651855,500.3951658584007,6643854
57,111,2015,569.4736555840017,479.06235344238183,473.73979097112056,463.97922688117615,453.4972288230435,475.02181138838483,561.5827163973479,588.8718131577041,674.0408457426456,635.017557121303,529.0010990280153,532.3695878375174,822872
58,59,2015,539.1445158969424,455.09110555854085,468.3846291329211,457.1701551404751,453.60581082706153,480.2283202266369,579.7088016203469,661.069189103848,751.3343832909915,683.9952873366408,524.5313122836567,523.104562562128,2777814
59,71,2015,567.960249759738,466.64371238505476,458.0668577193033,463.6074106297378,468.8130276688731,584.1023829839618,808.5737169782258,846.6450614267239,912.1605444384461,749.3929121055178,540.2814439307496,538.8393440309598,2004701
60,65,2015,650.6041960118781,529.8974091779528,534.584584624771,551.3087047554978,552.496146533954,685.6554208781575,959.039591354493,1010.771403300052,1107.0352436288285,912.8457735812793,625.1608500033301,600.8417537847616,1933533
61,73,2015,497.26046457776994,391.8489421696189,454.12235508079664,393.706611211233,442.31142749631454,501.76655023608015,519.2688558616671,623.1121419360919,627.4468260004511,519.8996337387354,422.82426660662026,521.4111342957732,3061958
62,25,2015,429.5514073790488,302.00104025294934,304.2555939323551,331.66521743324876,383.257909216272,509.7844081985989,810.3046430117644,763.4620993797138,829.5802480998523,625.1436556095624,364.6481244418297,383.72033591788977,260
63,27,2015,687.6568499468286,539.3793804911169,498.39972695521527,462.2103614572745,454.8891839621101,498.82409844178414,583.1107573996542,558.831498032274,550.5861016521519,483.6508723588828,532.373417262314,663.4491994050245,15052
64,83,2015,504.44392433207275,430.120533162051,436.6683678575408,411.07811348775505,409.0408023915321,397.51647011451644,423.0782474833901,432.55401443423887,455.5153102781813,457.2529762735471,456.9439970809558,530.0916408022906,420548
65,31,2015,754.4611458188634,559.664342427417,577.4603304251506,557.0481051586736,668.4335913027883,1106.3889187395778,1228.635905376386,1189.2336843129071,929.0919470644242,707.4613384059501,649.9525616272515,814.03247989975,152968
66,107,2015,754.7039865123832,582.0192812226202,568.7328258262949,471.3786859146398,528.5737894248302,787.450955052855,1053.4572387535636,998.9620652540799,896.1390734510084,697.0757041962784,547.1688134695332,622.2822602945366,440133
67,29,2015,535.0875529361653,409.2535136802713,444.4266439080406,442.1606914395618,538.3218655099477,917.4423097957039,1069.0831331212746,1049.4682893264373,853.5688307134104,614.6501021866944,459.95870561782175,562.489888202744,838810
68,19,2015,601.2821194380919,455.27175072828396,477.568405787975,465.87206092777035,552.7790331743751,993.1575719213578,1089.533764076115,1060.0768336419949,801.0687548574529,594.557038016675,523.1618828890589,648.3747145906731,930265
69,53,2015,466.71088082565706,387.82628103761596,405.89463248060395,387.14697387119907,396.41377872962147,372.11431164024026,387.8057605170122,391.59707275200464,379.1666252673258,390.8057775047465,450.9122506237962,537.1127221900877,414542
70,69,2015,595.1823613984594,485.52878983438535,500.86460947959495,470.9117817322306,479.7077625512444,499.93587428159725,541.2404691567373,570.5900940126331,561.0222629400116,518.6870898396803,564.1831317891047,684.3674880733034,55269
71,79,2015,501.6988461567538,413.08553177851724,425.89364508380476,395.99460560737856,402.0935196385448,438.96113351597467,454.52365785164284,477.7849473034005,464.58952206473055,438.85547776480763,464.04906102150403,563.939531630695,269621
72,51,2015,869.1606601119546,626.1999055510875,604.4783434577024,491.08483413369026,416.65640419850075,380.2479599946611,384.41299790252543,374.63776681512206,353.421422964717,352.9777887487448,526.0491486191663,781.6717218961679,12782
73,39,2015,685.0870616969034,517.3970933455716,534.0409254741949,510.8960524917239,571.4606134906121,943.6343534776004,1045.969518866796,1019.7473522079384,789.0580566142495,615.8875831626942,596.192959673839,744.5122803871735,150865
74,43,2015,665.3028285995454,524.9719137891667,531.4674132220729,508.510598159163,523.2583485667279,665.0665871105289,734.8420486946704,719.1353104917514,589.2816702093241,522.7690955898724,656.3346690860295,798.691911330166,18251
75,47,2015,626.7502118254587,476.0501707340504,493.27532680852045,479.17049398248355,542.4651125663152,949.5840887211361,1031.6388659558045,978.5872848076474,774.7520955577194,599.5799565590718,546.6106687720298,668.4702073999265,233623
76,81,2015,530.8944496883348,425.5242045966204,440.4027761779634,414.90046975863066,426.9448777072804,407.0144471138316,425.2489607091916,432.9697941112552,422.2558586675906,427.61660649459475,492.93765549963473,583.5219265242821,718168
77,85,2015,558.8914282471027,443.3706636300173,457.31370523055523,424.33288170952466,432.7795967795028,497.03885936681274,547.8939517737228,557.8713186954167,520.6278613412729,472.75155442711053,520.866938285877,614.249435005497,1618731
